,Metadata_InChIKey,Metadata_JCP2022,SMILES
101,ABFFIDZKCIAUGN-UHFFFAOYSA-N,JCP2022_000239,N=C(O)C1CCN(C(=O)CCn2c(-c3ccccc3)cc3ccccc32)CC1
102,ABFQIRWVURAEFU-UHFFFAOYSA-N,JCP2022_000241,CC(O)=Nc1ccc2c(Cn3cc(C(F)(F)F)cc(Cl)c3=O)cc(=O)oc2c1
103,ABFRIEGUYBNIMD-UHFFFAOYSA-N,JCP2022_000242,O=C(NCCCn1ccnc1)c1nc(-c2cccc3[nH]ccc23)no1
104,ABGAVQUZBDOQJB-UHFFFAOYSA-N,JCP2022_000244,CC(O)=Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1
105,ABGMCCFJCIATIE-UHFFFAOYSA-N,JCP2022_000245,CCCCCn1c(=O)c(C(O)=NCc2cccnc2)c(O)c2ccccc21
106,ABGQXDJIVXRAAA-UHFFFAOYSA-N,JCP2022_000247,Cc1cccc(NC(=O)C(=O)NC2CCCCCC2)c1
107,ABGRDOXOFFFCRZ-UHFFFAOYSA-N,JCP2022_000249,COC(=O)c1sc(-c2ccccc2)cc1N=C(O)Cc1ccc(OC)c(C)c1
108,ABGVVHCHQBCTFO-UHFFFAOYSA-N,JCP2022_000251,COC(=O)c1cc(Br)ccc1N=C(O)Nc1ccc(C)cc1
109,ABHGEEPLBHTDKI-UHFFFAOYSA-N,JCP2022_000254,COc1ccc(CCC(O)=Nc2ccc3[nH]c(=Nc4cccc(Cl)c4)cc(C)c3c2)cc1
110,ABIVOOWWGYJNLV-UHFFFAOYSA-N,JCP2022_000262,N=C(O)C1CCCCc2c1[nH]c1ccc(Cl)cc21
111,ABIXKBMKJXACGJ-UHFFFAOYSA-N,JCP2022_000264,NC1C2CN3CCN(C2)CC1(c1ccccc1)C3
112,ABIXNZREIZUBDQ-UHFFFAOYSA-N,JCP2022_000265,Cc1noc(C)c1-c1cccc(CC2CCN(S(=O)(=O)N(C)C)C2)n1
113,ABJAZIYUOSKXCP-UHFFFAOYSA-N,JCP2022_000266,Cc1nn(C)c2nc(C3CCN(C(=O)CCc4ccccc4F)CC3)ccc12
114,ABJBRPULOMDXCD-UHFFFAOYSA-N,JCP2022_000267,COc1ccc(OCC(=O)N2CCC3(CC2)CC(=O)N(CC2CC2)C3)cc1
115,ABJHMASUFPDZRW-UHFFFAOYSA-N,JCP2022_000268,CC(C)(C)C(=O)CN1C(=O)C(NC(O)=Nc2cccc(N)c2)N=C(c2ccccn2)c2ccccc21
116,ABJQTJMRXLOVAD-UHFFFAOYSA-N,JCP2022_000272,C=c1[nH]n(-c2ccccc2)c(=O)c1=Cc1cn(CCC#N)nc1-c1ccc(Br)cc1
117,ABJRPGSJRJOLST-UHFFFAOYSA-N,JCP2022_000273,FC(F)c1nnc2ccc(N3CCC4(CCCCC4)C3)nn12
118,ABJXUJRCDYYSRB-UHFFFAOYSA-N,JCP2022_000278,COc1ccccc1-n1c(SCC(O)=Nc2ccc3c(c2)OCO3)nc2ccsc2c1=O
119,ABKCIVRXZREFGL-UHFFFAOYSA-N,JCP2022_000279,CCOc1ccc(Nc2ncnc3c2nc2n3CCCC2)cc1
120,ABKSQIBLHAOHPW-UHFFFAOYSA-N,JCP2022_000285,Cc1nnnn1-c1ccc(CC(=O)N(C)CC2CCN(c3ccccc3)C2)cc1
121,ABLAJCCFFAFLJQ-UHFFFAOYSA-N,JCP2022_000288,O=S(=O)(c1cc(F)cc(Cl)c1)N1CCCN(CCO)CC1
122,ABLFBMYBCIPDMR-UHFFFAOYSA-N,JCP2022_000289,OC(COc1ccccc1)=Nc1cccc(-c2nc3ncccc3o2)c1
123,ABLHXLJUVRUMOZ-UHFFFAOYSA-N,JCP2022_000291,Cc1cccc(N(CC(=N)O)c2sc(=O)n(-c3cccc(C)c3)c2O)c1
124,ABMBBYSOEBJITJ-UHFFFAOYSA-N,JCP2022_000293,CCCCCCC(=O)N1CCCN(c2nc(C)nc(CC)c2Cc2ccc(C)cc2)CC1
125,ABMGDPHPCTXVQD-UHFFFAOYSA-N,JCP2022_000296,COc1ccc(-c2csc(NC(=O)c3ccc(Br)s3)n2)cc1OC
126,ABMOKYAPMLRASF-UHFFFAOYSA-N,JCP2022_000298,Cc1ccc(CCN=C(O)CN2C(=O)CSc3ccc(S(=O)(=O)N4CCOCC4)cc32)cc1
127,ABMPQMBWIOMVJG-UHFFFAOYSA-N,JCP2022_000299,CCn1cc(CN(C)C(=O)c2cnn3c(C(F)(F)F)cc(-c4cn(C)nc4C)nc23)cn1
128,ABNFWOWSBYAAPS-UHFFFAOYSA-N,JCP2022_000302,O=C1c2cccnc2Oc2ccc(Cl)cc2N1CC(O)=NC1CCCC1
129,ABOLMVJXJMAXGZ-UHFFFAOYSA-N,JCP2022_000308,CCCCCCCCN1CCc2c(C)nc3c(C#N)cnn3c21
130,ABONWWSQIJYUOT-UHFFFAOYSA-N,JCP2022_000309,Cc1nn(-c2cc(N3CCCCC3)ncn2)c(C)c1CCC(O)=NCCc1ccccc1
131,ABOPAYZUYAFVQR-UHFFFAOYSA-N,JCP2022_000310,OC(=Nc1nc2c(s1)CCc1ccccc1-2)C1CCCC1
132,ABOYLTDHQJMEII-UHFFFAOYSA-N,JCP2022_000311,C=CCc1cccc2cc(C(O)=NCc3ccco3)c(=O)oc12
133,ABPDWZXWVKJELY-UHFFFAOYSA-N,JCP2022_000312,Cc1c(Cc2c(O)[nH]c3ccccc23)oc2ccc(F)cc12
134,ABPUVPCQDRZKLK-UHFFFAOYSA-N,JCP2022_000317,Cc1ccn(CC(=O)N2CC(c3cccc(O)c3)C3C2C2CCN3CC2)n1
135,ABRFQZZSOSUWKM-UHFFFAOYSA-N,JCP2022_000325,OC1=Nc2cc(F)ccc2N(Cc2ccon2)CC1
136,ABRILHATNOGHDC-UHFFFAOYSA-N,JCP2022_000327,N#Cc1nc(COc2ccccc2)oc1NCCN1CCOCC1
137,ABRUVQZOULGYGL-UHFFFAOYSA-N,JCP2022_000331,Cc1ccc(-c2cc3c(=O)n(CCNC(=O)c4cc(C5CC5)[nH]n4)ccn3n2)c(C)c1
138,ABSCQWOCLOCSDF-UHFFFAOYSA-N,JCP2022_000334,O=[N+]([O-])c1ccc(N=C(O)CN2CCCCCCC2)c(Br)c1
139,ABSMFJVWTLRCJI-UHFFFAOYSA-N,JCP2022_000336,Cc1nn(CC(O)=NCCCN2CCC(N3CCCCC3)CC2)c(=O)c2cc(-c3ccccc3)nn12
140,ABSOCEPJYNFNDB-UHFFFAOYSA-N,JCP2022_000337,Cc1ccc2c(CC(=O)N3CCCCCC4NCCC43)c(C)[nH]c2c1C
141,ABSRXIWOBZINAQ-UHFFFAOYSA-N,JCP2022_000339,COc1ccc(-c2nn(-c3ccccc3)cc2C2SCC(=O)N2Cc2ccccn2)cc1
142,ABTNPNUEXJPIBS-UHFFFAOYSA-N,JCP2022_000343,CCOc1ccc(C(C)N=C(O)Cc2c(C)nc(-c3cccnc3)nc2O)cc1
143,ABTQHCHATHMNEJ-UHFFFAOYSA-N,JCP2022_000345,Cc1ccc2nc(N=C(O)c3ccc(Cl)cc3N3CCCC3=O)sc2c1
144,ABTZVEXEVCVJLF-UHFFFAOYSA-N,JCP2022_000347,O=C(c1cc(-c2cccc(F)c2)ns1)N1CCCC1
145,ABUFIIVSWNHGFU-UHFFFAOYSA-N,JCP2022_000348,O=C(c1nn[nH]c1Nc1cccc(Cl)c1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
146,ABUKNHDYAVVKMQ-UHFFFAOYSA-N,JCP2022_000350,Cc1cc(C)cc(C2(C(=O)N3CCC(c4n[nH]cc4-c4cc[nH]c(=N)c4)C3)CCCC2)c1
147,ABUOYKGUDWOJQM-UHFFFAOYSA-N,JCP2022_000351,COc1ccc(C(CN=C(O)c2cc(-c3ccc(Cl)cc3)on2)N(C)C)cc1
148,ABUXYPXJKMVMOS-UHFFFAOYSA-N,JCP2022_000353,Cn1nccc1C(=O)NCC1Cn2cccc2CN1Cc1ccccc1
149,ABWIJFCVYFBWPS-UHFFFAOYSA-N,JCP2022_000361,COc1cccc(C(=O)CSc2nc3ccccc3c(=O)n2-c2ccccc2)c1
150,ABWSPXCLFKZFQF-UHFFFAOYSA-N,JCP2022_000363,CCOc1cn(-c2ccc(F)cc2)nc1C(=O)NCc1ccc(OC)cc1
151,ABWXMWLFZZSEEM-UHFFFAOYSA-N,JCP2022_000365,COc1ccc(CC(=O)N2CCCN(c3nnc4cccc(C)n34)CC2)cc1
152,ABYQWJAEJVXQBO-UHFFFAOYSA-N,JCP2022_000374,OC(=Nc1cnn(Cc2ccc(Cl)cc2)c1)c1cnccn1
153,ABYUVOVUJVEFDS-UHFFFAOYSA-N,JCP2022_000375,CC(C)c1ccccc1OCCCCCCN1CCN(C)CC1
154,ABYVYQNXPJPASQ-UHFFFAOYSA-N,JCP2022_000376,COc1cccc(C2CC(O)=Nc3cc4c(cc32)OCO4)c1OC(C)C
155,ABYYNMFBKRAZGV-UHFFFAOYSA-N,JCP2022_000378,OC(=NCCc1ccc(Cl)cc1Cl)c1ccc(O)nc1
156,ABYZPKZOQQWBHN-UHFFFAOYSA-N,JCP2022_000379,COc1cccc(-c2noc(C3CCN(S(=O)(=O)c4ccccc4)CC3)n2)c1
157,ABYZYHFUKZZTQE-UHFFFAOYSA-N,JCP2022_000380,CN1C(=O)COc2ccc(S(=O)(=O)Nc3ccc4c(c3)n(C)c(=O)n4C)cc21
158,ABZJJEFRNAKQSA-UHFFFAOYSA-N,JCP2022_000381,COC(=O)C1C(=O)C2=C(CC1C)N=C(C)C(C(=O)OCCOc1ccccc1)C2c1ccc(C)o1
159,ABZVWBUYXODXDT-UHFFFAOYSA-N,JCP2022_000385,O=C(NCc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1
160,ABZXMJVQCWJVDG-UHFFFAOYSA-N,JCP2022_000386,COc1nc(CN=C(O)COc2ccccc2OC)nc(N(C)C)n1
161,ACABFUSMARNGNL-UHFFFAOYSA-N,JCP2022_000387,CCN(CC(O)=NC(O)=NC1CCCCC1)Cc1nc(O)c2ccccc2n1
162,ACAGJTNYEZZHNS-UHFFFAOYSA-N,JCP2022_000388,CCC(C)N=C(O)c1sc2nc(-c3ccc(OC)cc3)cn2c1C
163,ACAINRFRPDBBJL-UHFFFAOYSA-N,JCP2022_000389,CCc1nc(-c2cncnc2C2CCN(Cc3cn(C(C)C)c4ccc(OC)cc34)C2)no1
164,ACAKNPKRLPMONU-UHFFFAOYSA-N,JCP2022_000391,Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1
165,ACAVYJHBGBHRDQ-UHFFFAOYSA-N,JCP2022_000394,Cc1csc(CN=C(O)N=c2cc[nH]cc2)n1
166,ACBBERAIOMRUDI-UHFFFAOYSA-N,JCP2022_000395,O=C(CCC1CCCC1)Nc1ccc(-c2nnc3n2CCCC3)cc1
167,ACBUJLJRLOXFMA-UHFFFAOYSA-N,JCP2022_000398,Cc1cc(O)nc2ccc(S(=O)(=O)N3CCN(CC(F)(F)F)CC3)cc12
168,ACCFKNZQUIQRHI-UHFFFAOYSA-N,JCP2022_000400,CCCOC(=O)CSc1nc2c(c(-c3ccccc3)c1C#N)CCC2=Cc1ccccc1
169,ACCFMHOFAXKELV-UHFFFAOYSA-N,JCP2022_000402,COc1ccc(CCn2c(CO)cnc2Sc2ncc(C(F)(F)F)cc2Cl)cc1OC
170,ACCHIOLAGUMIGN-UHFFFAOYSA-N,JCP2022_000404,Cc1ccccc1C(O)=Nc1nn2c(-c3ccccc3)nnc2s1
171,ACCMWZWAEFYUGZ-UHFFFAOYSA-N,JCP2022_000405,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21
172,ACCMXJBCUBKSQQ-UHFFFAOYSA-N,JCP2022_000406,Cc1nc(C)c(CCNS(=O)(=O)c2cc(Cl)ccc2Cl)s1
173,ACCXTZYSBDQPKU-UHFFFAOYSA-N,JCP2022_000408,N=c1nc(O)c2oc(-c3ccc(Cl)cc3)nc2[nH]1
174,ACCYRHNPKVAFEJ-UHFFFAOYSA-N,JCP2022_000409,Cn1cncc1-c1nnc(C2CCN(C(=O)C3CC3)C2)o1
175,ACDAJNWIMSIFEV-UHFFFAOYSA-N,JCP2022_000410,COc1ccc(-n2ccnc2SCC(O)=NCc2ccc(N3CCCC3=O)cc2)cc1
176,ACDCNFLERZYPKY-UHFFFAOYSA-N,JCP2022_000412,Cc1nn(C)c(C)c1OCCc1ccc2c(c1)CCO2
177,ACDMONYKERYXRY-UHFFFAOYSA-N,JCP2022_000414,CC(O)=Nc1ccc(S(=O)(=O)NCCN2CCOCC2)cc1
178,ACDQTRIRTDRNBI-UHFFFAOYSA-N,JCP2022_000415,Cc1cccc(-c2nc3nc(=O)cc(N=C(O)c4ccccc4Cl)n3[nH]2)c1
179,ACEBWSSSSLCMFN-UHFFFAOYSA-N,JCP2022_000416,COc1cc(N2CCc3onc(-c4ccc(C(F)(F)F)cc4)c3C2)ncn1
180,ACECEHLHRDAIDC-UHFFFAOYSA-N,JCP2022_000417,CC(=O)CSc1nnc2cc(C)c3cc(C)cc(C)c3n12
181,ACEDALOXSQAPSG-UHFFFAOYSA-N,JCP2022_000419,Clc1ccccc1-c1nnc(SCc2nc3ccccc3o2)n1C1CCCC1
182,ACELPUUJTYVYLP-UHFFFAOYSA-N,JCP2022_000421,CN(C(=O)N1CC2(C)CC1CC(C)(C)C2)c1ccccc1
183,ACENETJHWISCNP-UHFFFAOYSA-N,JCP2022_000422,Cc1ccccc1CNS(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCC(=O)N1CCC(C)CC1
184,ACESOXOYRKFOMA-UHFFFAOYSA-N,JCP2022_000423,COC12CCC(Oc3ccccn3)CC1N(C)CC2
185,ACETWTLARMWFKV-UHFFFAOYSA-N,JCP2022_000424,COc1ccccc1N=C(O)C1CCN(C)C1C1CCCN(Cc2ccc(Cl)cc2)C1
186,ACEWLPOYLGNNHV-UHFFFAOYSA-N,JCP2022_000425,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1
187,ACFFBAHLBLUXAM-UHFFFAOYSA-N,JCP2022_000426,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCN3C(=O)CCC(=O)N2CCCCCC2)c1
188,ACFSNTGFRBWARG-UHFFFAOYSA-N,JCP2022_000428,O=[N+]([O-])c1ccc(SCCOc2nonc2-c2ccccc2)cc1N1CCCCC1
189,ACGDKVXYNVEAGU-UHFFFAOYSA-N,JCP2022_000432,N=C(N)NCCN1CCCCCCC1
190,ACGHZWWINYTNLM-UHFFFAOYSA-N,JCP2022_000434,CC(C)N(Cc1nnc(-c2ccc(Cl)cc2)o1)C(=O)c1cc(F)cc(F)c1
191,ACGIUHPPXRDURA-UHFFFAOYSA-N,JCP2022_000435,Cc1nn(CCN=C(O)c2cc(C3CC3)nc3onc(C)c23)c(C)c1Cl
192,ACGPONQSRUGYMT-UHFFFAOYSA-N,JCP2022_000436,Cc1ccc2nc(NCCN=C(O)c3ccccc3)c(C#N)cc2c1
193,ACGSTJCGLALSRX-UHFFFAOYSA-N,JCP2022_000437,CN(C)Cc1ccnc(C2CCCN2C(=O)Cc2cccnc2)n1
194,ACGWBJKSUZHIHU-UHFFFAOYSA-N,JCP2022_000439,CN(Cc1nc2ccccc2n1C)S(C)(=O)=O
195,ACGZRWICICOUPO-UHFFFAOYSA-N,JCP2022_000440,O=C(c1cccc(C(F)(F)F)c1)N1CCN(c2cc(O)nnc2-c2ccccc2)CC1
196,ACHKQDLAXKJNGC-UHFFFAOYSA-N,JCP2022_000443,O=C(Cc1ccc(F)cc1)N1CCC(c2noc(-c3cnccn3)n2)CC1
197,ACHRLWAPMQYVFH-UHFFFAOYSA-N,JCP2022_000445,Cc1cc(Nc2nc(C)cc(C)n2)cc(C2CCCN(C(=O)CN3CCOCC3)C2)n1
198,ACHSPVZSCMSWRD-UHFFFAOYSA-N,JCP2022_000446,CC1CCc2sc(C(=O)N(CC#N)Cc3ccccc3)cc2C1
199,ACIJLVMBHSTHLJ-UHFFFAOYSA-N,JCP2022_000451,O=C(Cn1nc(Cl)nc1Cl)c1cc2ccccc2oc1=O
